,date,open,high,low,close,volume,y2_hat
191,2017-07-11 12:00 AM,2326.12,2399.0,2242.62,2305.98,17580.961635289743,2298.263107529198
192,2017-07-12 12:00 AM,2301.55,2408.84,2239.54,2388.0,12883.554938089974,2379.9960196088527
193,2017-07-13 12:00 AM,2383.97,2425.16,2312.93,2339.99,8429.850403060072,2331.3899077853216
194,2017-07-14 12:00 AM,2340.0,2357.84,2140.0,2213.37,12659.01704362041,2203.415807442603
195,2017-07-15 12:00 AM,2209.44,2219.99,1967.65,1970.51,19886.67952317989,1958.7873306680576
196,2017-07-16 12:00 AM,1970.51,2044.44,1830.0,1917.63,25562.705644570062,1910.6605313820364
197,2017-07-17 12:00 AM,1917.72,2229.97,1910.57,2226.0,26448.501402548765,2220.276063160372
198,2017-07-18 12:00 AM,2226.0,2392.0,2164.0,2303.71,25204.48960245936,2299.0141123181174
199,2017-07-19 12:00 AM,2308.82,2402.5,2223.0,2265.21,17009.883495920607,2259.190457047071
200,2017-07-20 12:00 AM,2265.51,2938.0,2265.51,2875.03,30989.89112525913,2875.876227037709
201,2017-07-21 12:00 AM,2880.0,2887.45,2611.39,2670.0,20724.160503379826,2668.949907278144
202,2017-07-22 12:00 AM,2667.01,2882.0,2644.59,2832.71,12819.631348040128,2830.9696129449794
203,2017-07-23 12:00 AM,2824.82,2855.0,2640.0,2749.02,11001.964600670151,2745.5954460407243
204,2017-07-24 12:00 AM,2756.8,2800.0,2701.0,2759.98,10001.915066100071,2756.976552793901
205,2017-07-25 12:00 AM,2759.95,2775.79,2450.0,2564.82,21326.54783885015,2560.7879949707044
206,2017-07-26 12:00 AM,2564.74,2608.96,2400.0,2524.99,17713.67446580028,2520.075405606812
207,2017-07-27 12:00 AM,2524.99,2695.0,2509.63,2666.33,11826.475199480281,2662.237014207659
208,2017-07-28 12:00 AM,2666.33,2825.0,2655.82,2777.01,14069.501492140225,2775.588690072242
209,2017-07-29 12:00 AM,2777.01,2785.65,2631.78,2680.56,10782.217536750171,2675.6941927920757
210,2017-07-30 12:00 AM,2681.6,2774.45,2569.69,2742.37,9678.161260670207,2742.1118339563463
211,2017-07-31 12:00 AM,2745.76,2889.99,2680.01,2855.81,11114.335542209968,2860.29248674921
212,2017-08-01 12:00 AM,2855.81,2929.17,2615.0,2731.0,12525.07669112009,2734.483503617494
213,2017-08-02 12:00 AM,2732.0,2760.0,2650.0,2703.51,9486.625525630054,2703.939487920162
214,2017-08-03 12:00 AM,2703.51,2807.44,2698.83,2793.37,7963.697999240034,2789.858473398726
215,2017-08-04 12:00 AM,2793.34,2877.52,2765.91,2855.0,7635.821671900083,2851.4798250669814
216,2017-08-05 12:00 AM,2851.01,3339.66,2848.32,3263.62,16996.273100910057,3265.773725342682
217,2017-08-06 12:00 AM,3263.51,3296.51,3146.1,3222.75,5998.7357885200045,3221.414377722845
218,2017-08-07 12:00 AM,3216.78,3430.0,3186.0,3387.55,12046.117265010336,3389.2857863117356
